equipament,indicador,valor,notes_dades,notes_equipament,codi_districte,nom_districte,codi_barri,nom_barri,latitud,longitud
Centre Cívic Vil·la Urània,InscripcionsActivitatsFormacio,4055,,,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,41.3986429,2.14276
Centre Cívic Vil·la Urània,Metres_quadrats,3415,,,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,41.3986429,2.14276
Centre Cívic Zona Nord,ActivitatsDeFormacio,93,,,8,Nou Barris,55,Ciutat Meridiana,41.461113806,2.177397304
Centre Cívic Zona Nord,InscripcionsActivitatsFormacio,834,,,8,Nou Barris,55,Ciutat Meridiana,41.461113806,2.177397304
Centre Cívic Zona Nord,Metres_quadrats,2418,,,8,Nou Barris,55,Ciutat Meridiana,41.461113806,2.177397304
Centre Cultural Albareda,ActivitatsDeFormacio,115,,,3,Sants-Montjuïc,11,el Poble Sec,41.373999934,2.173269239
Centre Cultural Albareda,InscripcionsActivitatsFormacio,1297,,,3,Sants-Montjuïc,11,el Poble Sec,41.373999934,2.173269239
Centre Cultural Albareda,Metres_quadrats,1473,,,3,Sants-Montjuïc,11,el Poble Sec,41.373999934,2.173269239
Centre Cultural la Farinera del Clot,ActivitatsDeFormacio,120,,,10,Sant Martí,65,el Clot,41.404913599,2.188442671
Centre Cultural la Farinera del Clot,InscripcionsActivitatsFormacio,1352,,,10,Sant Martí,65,el Clot,41.404913599,2.188442671
Centre Cultural la Farinera del Clot,Metres_quadrats,2634,,,10,Sant Martí,65,el Clot,41.404913599,2.188442671
